week_start_date,district,average_temperature,average_rainfall
2016-03-28,Matara,28.37,5.91
2016-04-04,Matara,28.72,3.47
2016-04-11,Matara,28.86,2.9
2016-04-18,Matara,28.59,6.61
2016-04-25,Matara,28.52,4.06
2016-05-02,Matara,28.44,8.43
2016-05-09,Matara,27.19,39.07
2016-05-16,Matara,27.48,14.97
2016-05-23,Matara,27.51,9.9
2016-05-30,Matara,27.34,5.06
2016-06-06,Matara,27.36,7.73
2016-06-13,Matara,27.17,4.16
2016-06-20,Matara,27.2,3.84
2016-06-27,Matara,27.38,3.11
2016-07-04,Matara,27.74,2.27
2016-07-11,Matara,27.09,3.03
2016-07-18,Matara,27.19,2.26
2016-07-25,Matara,26.16,9.33
2016-08-01,Matara,27.74,0.4
2016-08-08,Matara,27.07,2.64
2016-08-15,Matara,27.11,2.6
2016-08-22,Matara,26.67,5.6
2016-08-29,Matara,26.34,5.63
2016-09-05,Matara,26.84,1.67
2016-09-12,Matara,26.89,3.99
2016-09-19,Matara,27.4,2.04
2016-09-26,Matara,26.92,4.46
2016-10-03,Matara,27.24,1.26
2016-10-10,Matara,27.34,2.53
2016-10-17,Matara,26.89,5.11
2016-10-24,Matara,26.51,6.54
2016-10-31,Matara,26.22,11.9
2016-11-07,Matara,26.87,3.04
2016-11-14,Matara,26.31,19.66
2016-11-21,Matara,26.85,9.53
2016-11-28,Matara,26.49,1.87
2016-12-05,Matara,26.61,4.24
2016-12-12,Matara,26.21,2.86
2016-12-19,Matara,26.31,2.21
2016-12-26,Matara,26.59,4.39
2017-01-02,Matara,25.42,1.93
2017-01-09,Matara,25.71,0.34
2017-01-16,Matara,26.54,4.29
2017-01-23,Matara,26.15,11.37
2017-01-30,Matara,25.66,3.34
2017-02-06,Matara,26.31,0.41
2017-02-13,Matara,28.26,4.77
2017-02-20,Matara,26.37,5.79
2017-02-27,Matara,26.44,5.39
2017-03-06,Matara,26.84,6.43
2017-03-13,Matara,26.75,4.49
2017-03-20,Matara,27.47,1.64
2017-03-27,Matara,27.22,4.06
2017-04-03,Matara,27.64,6.79
2017-04-10,Matara,27.79,12.81
2017-04-17,Matara,28.69,2.04
2017-04-24,Matara,28.55,2.37
2017-05-01,Matara,27.82,2.87
2017-05-08,Matara,28.24,3.63
2017-05-15,Matara,28.32,3.47
2017-05-22,Matara,27.47,7.06
2017-05-29,Matara,27.1,9.94
2017-06-05,Matara,27.59,2.81
2017-06-12,Matara,27.09,3.13
2017-06-19,Matara,26.84,7.03
